domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,screenshot_path_banner,screenshot_path_manage,notes
etsy.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:25.850Z,https://www.etsy.com/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/etsy.com/desktop/run2_banner.png,,
etsy.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:26.026Z,https://www.etsy.com/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/etsy.com/mobile/run1_banner.png,,
etsy.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:27.397Z,https://www.etsy.com/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/etsy.com/mobile/run2_banner.png,,
supersports.co.th,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:29.686Z,https://www.supersports.co.th/,ok,,0,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,32,,,1,,,,,,,,evidence/supersports.co.th/desktop/run1_banner.png,,
supersports.co.th,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:29.764Z,https://www.supersports.co.th/,ok,,0,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,32,,,1,,,,,,,,evidence/supersports.co.th/desktop/run2_banner.png,,
supersports.co.th,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:31.217Z,https://www.supersports.co.th/,ok,,0,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,34,,,1,,,,,,,,evidence/supersports.co.th/mobile/run1_banner.png,,
supersports.co.th,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:36.246Z,https://www.supersports.co.th/,ok,,0,,unknown,th,1,0,0,1,1,,,,0,0,0,0,0,34,,,1,,,,,,,,evidence/supersports.co.th/mobile/run2_banner.png,,
centralgroup.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:36.287Z,https://www.centralgroup.com/th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,3,,,1,1,0,,,,,,evidence/centralgroup.com/desktop/run1_banner.png,evidence/centralgroup.com/desktop/run1_manage.png,
centralgroup.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:36.959Z,https://www.centralgroup.com/th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,3,,,1,1,0,,,,,,evidence/centralgroup.com/desktop/run2_banner.png,evidence/centralgroup.com/desktop/run2_manage.png,
decathlon.co.th,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:45.400Z,https://www.decathlon.co.th/,ok,,1,,unknown,th-TH,1,0,0,1,1,,,,0,0,0,0,0,24,,,1,,,,,,,,evidence/decathlon.co.th/desktop/run1_banner.png,,
centralgroup.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:42.594Z,https://www.centralgroup.com/th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,3,,,1,1,0,,,,,,evidence/centralgroup.com/mobile/run1_banner.png,evidence/centralgroup.com/mobile/run1_manage.png,
centralgroup.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:44.565Z,https://www.centralgroup.com/th/home,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,3,,,1,1,0,,,,,,evidence/centralgroup.com/mobile/run2_banner.png,evidence/centralgroup.com/mobile/run2_manage.png,
decathlon.co.th,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:49.713Z,https://www.decathlon.co.th/,ok,,1,,unknown,th-TH,1,0,0,1,1,,,,0,0,0,0,0,23,,,1,,,,,,,,evidence/decathlon.co.th/desktop/run2_banner.png,,
decathlon.co.th,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:51.152Z,https://www.decathlon.co.th/,ok,,1,,unknown,th-TH,1,0,0,1,1,,,,0,0,0,0,0,27,,,1,,,,,,,,evidence/decathlon.co.th/mobile/run1_banner.png,,
decathlon.co.th,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:52.541Z,https://www.decathlon.co.th/,ok,,1,,unknown,th-TH,1,0,0,1,1,,,,0,0,0,0,0,26,,,1,,,,,,,,evidence/decathlon.co.th/mobile/run2_banner.png,,
ikea.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:54.240Z,https://www.ikea.com/,ok,,1,,OneTrust,en,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,evidence/ikea.com/desktop/run1_banner.png,evidence/ikea.com/desktop/run1_manage.png,
ikea.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:56.673Z,https://www.ikea.com/,ok,,1,,OneTrust,en,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,evidence/ikea.com/mobile/run1_banner.png,evidence/ikea.com/mobile/run1_manage.png,
ikea.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:55.455Z,https://www.ikea.com/,ok,,1,,OneTrust,en,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,1,1,0,,,,,,evidence/ikea.com/desktop/run2_banner.png,evidence/ikea.com/desktop/run2_manage.png,
sephora.co.th,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T09:00:05.768Z,,error,"page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at http://sephora.co.th/
Call log:
[2m  - navigating to ""http://sephora.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,
sephora.co.th,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T09:00:05.759Z,,error,"page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at http://sephora.co.th/
Call log:
[2m  - navigating to ""http://sephora.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,
sephora.co.th,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T09:00:06.253Z,,error,"page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at http://sephora.co.th/
Call log:
[2m  - navigating to ""http://sephora.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,
