domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
scbx.com,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:47:59.788Z,https://www.scbx.com/th/,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/scbx.com/mobile/run2_banner.png,evidence/scbx.com/mobile/run2_manage.png,"interstitial_step1_before=evidence/scbx.com/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step1_after=evidence/scbx.com/mobile/run2_interstitial_step1_after.png; interstitial_step2_before=evidence/scbx.com/mobile/run2_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step2_after=evidence/scbx.com/mobile/run2_interstitial_step2_after.png; interstitial_step3_before=evidence/scbx.com/mobile/run2_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step3_after=evidence/scbx.com/mobile/run2_interstitial_step3_after.png; "
bangkokbank.com,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:48:00.073Z,,error,"page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""http://bangkokbank.com/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
bangkokbank.com,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:48:01.645Z,,error,"page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""http://bangkokbank.com/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
bangkokbank.com,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:48:11.996Z,,error,"page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""http://bangkokbank.com/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
krungthai.com,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:49:01.685Z,https://krungthai.com/th/personal,ok,,1,,OneTrust,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/krungthai.com/desktop/run1_banner.png,evidence/krungthai.com/desktop/run1_manage.png,"interstitial_step1_before=evidence/krungthai.com/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step1_after=evidence/krungthai.com/desktop/run1_interstitial_step1_after.png; interstitial_step2_before=evidence/krungthai.com/desktop/run1_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step2_after=evidence/krungthai.com/desktop/run1_interstitial_step2_after.png; interstitial_step3_before=evidence/krungthai.com/desktop/run1_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step3_after=evidence/krungthai.com/desktop/run1_interstitial_step3_after.png; "
krungthai.com,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:49:12.103Z,https://krungthai.com/th/personal,ok,,1,,OneTrust,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/krungthai.com/desktop/run2_banner.png,evidence/krungthai.com/desktop/run2_manage.png,"interstitial_step1_before=evidence/krungthai.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step1_after=evidence/krungthai.com/desktop/run2_interstitial_step1_after.png; interstitial_step2_before=evidence/krungthai.com/desktop/run2_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step2_after=evidence/krungthai.com/desktop/run2_interstitial_step2_after.png; interstitial_step3_before=evidence/krungthai.com/desktop/run2_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://krungthai.com/th/personal; interstitial_clicked=""""; interstitial_step3_after=evidence/krungthai.com/desktop/run2_interstitial_step3_after.png; "
krungthai.com,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:49:22.717Z,https://krungthai.com/th/personal,ok,,1,,OneTrust,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/krungthai.com/mobile/run1_banner.png,evidence/krungthai.com/mobile/run1_manage.png,interstitial_step1_before=evidence/krungthai.com/mobile/run1_interstitial_step1_before.png; 
krungsri.com,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:49:37.826Z,https://krungsri.com/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,evidence/krungsri.com/desktop/run1_banner.png,,interstitial_step1_before=evidence/krungsri.com/desktop/run1_interstitial_step1_before.png; 
krungthai.com,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:49:35.108Z,https://krungthai.com/th/personal,ok,,1,,OneTrust,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/krungthai.com/mobile/run2_banner.png,evidence/krungthai.com/mobile/run2_manage.png,interstitial_step1_before=evidence/krungthai.com/mobile/run2_interstitial_step1_before.png; 
krungsri.com,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:49:44.827Z,https://krungsri.com/,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,evidence/krungsri.com/desktop/run2_banner.png,,interstitial_step1_before=evidence/krungsri.com/desktop/run2_interstitial_step1_before.png; 
